1;3631.00;10.40;1691.00;big
1;4664.00;12.35;1632.00;big
2;4095.00;11.25;1408.00;big
2;3557.00;9.60;1478.00;big
3;4648.00;11.03;1268.00;big
3;4423.00;12.80;983.00;big
4;4012.00;10.60;906.00;big
4;4116.00;10.90;1059.00;big
5;3444.00;12.10;751.00;big
5;3297.00;10.30;961.00;big
6;3021.00;11.00;1133.00;big
6;2703.00;12.60;1146.00;big
7;3213.00;13.15;446.00;big
7;2837.00;11.03;806.00;big
8;3568.00;10.50;966.00;big
8;3451.00;11.78;1118.00;big
9;3307.00;9.70;1156.00;big
9;2905.00;14.55;1245.00;big
10;3292.00;13.00;1301.00;big
10;3462.00;14.50;1328.00;big
11;3179.00;10.45;1387.00;big
11;3089.00;9.80;1438.00;big
12;3405.00;10.10;1587.00;big
12;3253.00;10.50;1615.00;big
13;2960.00;10.78;1551.00;big
13;3085.00;10.50;1550.00;big
14;2698.00;10.50;1634.00;big
14;2767.00;9.90;1581.00;big
15;3225.00;10.35;1852.00;big
15;3010.00;11.63;1755.00;big
16;2866.00;10.05;1513.00;big
16;2836.00;9.95;1428.00;big
17;3030.00;9.68;1341.00;big
17;2956.00;12.63;1439.00;big
18;2777.00;13.57;1337.00;big
18;2704.00;11.45;1322.00;big
19;3869.00;15.43;1161.00;big
19;3571.00;14.32;1235.00;big
20;1267.00;10.03;1259.00;big
20;4950.00;9.50;694.00;big
21;2533.00;9.50;395.00;big
21;2229.00;9.50;1478.00;big
22;3162.00;9.50;1230.00;big
22;2909.00;9.50;1330.00;big
23;3260.00;9.50;1382.00;big
23;3359.00;9.50;1389.00;big
24;3599.00;9.50;1431.00;big
24;3618.00;9.50;1344.00;big
25;3137.00;9.50;1742.00;big
25;3009.00;9.50;1628.00;big
26;3416.00;9.50;961.00;big
26;3366.00;9.50;1062.00;big
27;3609.00;9.50;1085.00;big
27;3721.00;9.50;1049.00;big
28;3677.00;9.50;461.00;big
28;4229.00;9.50;384.00;big
